index,job,skill
40,전략마케팅,
41,브랜드디자인,
42,브랜드마케팅,
43,출판/편집디자인,
44,방송연출/PD/감독,
45,고객지원/CS,
46,조직문화,
47,CRM,
48,유지/수리/정비,
49,기술영업,
50,제품/산업디자인,
