index,jobId,company,title,job,region,jobUrl,total_skill,total_skill_literal,reviewCount,average,salary,wlb,culture,possibility,management
299,1163581,(주)카카오모빌리티,Machine Learning 엔지니어 영입,데이터분석,경기,/companies/326438/job_postings/1163581/machine-learning-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EC%98%81%EC%9E%85/%EC%B9%B4%EC%B9%B4%EC%98%A4%EB%AA%A8%EB%B9%8C%EB%A6%AC%ED%8B%B0?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['TensorFlow', 'Spark', 'Python', 'Hadoop', 'ML', 'PyTorch', 'Scala']",TensorFlow Spark Python Hadoop ML PyTorch Scala,37,3.0,3.0,4.0,4.0,3.0,3.0
300,1178590,(주)에이아이스페라,DBA,데이터분석,서울,/companies/362797/job_postings/1178590/dba/%EC%97%90%EC%9D%B4%EC%95%84%EC%9D%B4%EC%8A%A4%ED%8E%98%EB%9D%BC?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,['DB'],DB,16,3.0,3.0,3.0,4.0,4.0,3.0
301,1171174,(주)스마일게이트홀딩스,[개발] 대외 사이트 구축 프로젝트 PM,"네트워크/보안/운영, 웹개발, 하드웨어엔지니어",경기,/companies/314442/job_postings/1171174/%EA%B0%9C%EB%B0%9C-%EB%8C%80%EC%99%B8-%EC%82%AC%EC%9D%B4%ED%8A%B8-%EA%B5%AC%EC%B6%95-%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8-pm/%EC%8A%A4%EB%A7%88%EC%9D%BC%EA%B2%8C%EC%9D%B4%ED%8A%B8%ED%99%80%EB%94%A9%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['WEB', 'Linux']",WEB Linux,61,3.0,3.0,3.0,3.0,3.0,2.0
303,1177414,(주)버킷플레이스,Data Engineer/Scientist Lead,"게임개발, 프로젝트매니저",서울,/companies/274319/job_postings/1177414/data-engineerscientist-lead/%EB%B2%84%ED%82%B7%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,['Data'],Data,27,3.0,3.0,3.0,4.0,3.0,3.0
304,1177413,(주)버킷플레이스,Security Engineer (기술보안),네트워크/보안/운영,서울,/companies/274319/job_postings/1177413/security-engineer-%EA%B8%B0%EC%88%A0%EB%B3%B4%EC%95%88/%EB%B2%84%ED%82%B7%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['WEB', 'AWS']",WEB AWS,27,3.0,3.0,3.0,4.0,3.0,3.0
305,1178387,(주)그린랩스,서비스기획자,기획,서울,/companies/341521/job_postings/1178387/%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B8%B0%ED%9A%8D%EC%9E%90/%EA%B7%B8%EB%A6%B0%EB%9E%A9%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,['WEB'],WEB,28,3.0,3.0,3.0,3.0,3.0,3.0
306,1177805,키튼플래닛(주),브러쉬몬스터 백엔드 개발자,"DBA(Database Admin.), 네트워크/보안/운영, 시스템엔지니어",경기,/companies/336310/job_postings/1177805/%EB%B8%8C%EB%9F%AC%EC%89%AC%EB%AA%AC%EC%8A%A4%ED%84%B0-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90/%ED%82%A4%ED%8A%BC%ED%94%8C%EB%9E%98%EB%8B%9B?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['Spring', 'MySQL', 'AWS', 'Java', 'Git']",Spring MySQL AWS Java Git,9,3.0,3.0,3.0,3.0,3.0,2.0
307,1177804,키튼플래닛(주),브러쉬몬스터 유니티 개발자,모바일앱개발,경기,/companies/336310/job_postings/1177804/%EB%B8%8C%EB%9F%AC%EC%89%AC%EB%AA%AC%EC%8A%A4%ED%84%B0-%EC%9C%A0%EB%8B%88%ED%8B%B0-%EA%B0%9C%EB%B0%9C%EC%9E%90/%ED%82%A4%ED%8A%BC%ED%94%8C%EB%9E%98%EB%8B%9B?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['IOS', 'Android', 'C샵', 'Unity3D']",IOS Android C샵 Unity3D,9,3.0,3.0,3.0,3.0,3.0,2.0
308,1177730,잡플래닛 매칭서비스,국내 유명 OTT서비스 기업 - 안드로이드 개발자,모바일앱개발,서울,/companies/320559/job_postings/1177730/%EA%B5%AD%EB%82%B4-%EC%9C%A0%EB%AA%85-ott%EC%84%9C%EB%B9%84%EC%8A%A4-%EA%B8%B0%EC%97%85---%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90/%EC%9E%A1%ED%94%8C%EB%9E%98%EB%8B%9B-%EB%A7%A4%EC%B9%AD%EC%84%9C%EB%B9%84%EC%8A%A4?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,"['Java', 'Android', 'Kotlin', 'App']",Java Android Kotlin App,1,5.0,4.0,2.0,5.0,4.0,5.0
309,1177576,(주)베이글코드,데이터 분석가 / Business Analyst,데이터분석,서울,/companies/75788/job_postings/1177576/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D%EA%B0%80--business-analyst/%EB%B2%A0%EC%9D%B4%EA%B8%80%EC%BD%94%EB%93%9C?_rs_act=search&_rs_con=job%2Fsearch&_rs_element=search_result,['Python'],Python,12,4.0,4.0,3.0,4.0,3.0,3.0
